tags,title
taylorrussell loganmiller deborahannwoll adamrobitel action adventure horror six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,escape room
hermionecorfield jaypaulson seano'bryan jenmcgowan crime drama thriller an overachieving college student gets lost on her way to a job interview. a wrong turn leaves her stranded deep in the kentucky forest.,rust creek
"donaldsutherland vincentkartheiser oliverdennis wilsonconeybeare thriller 2 men are chained up in a basement. the captor has cameras aimed at them and is streaming it on the internet - turning it into a ""trial"" on the held retired judge's last court case. the viewers become the jurors.",american hangman
brycedallashoward edwardjamesolmos alexandrashipp charlesmartinsmith adventure drama family a female dog travels four hundred miles in search of her owner throughout a colorado wilderness.,a dog's way home
bryancranston kevinhart nicolekidman neilburger comedy drama a comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.,the upside
keanureeves jeffreynachmanoff drama sci-fi thriller a scientist becomes obsessed with bringing back his family members who died in a traffic accident.,replicas
nataliadyer kyrasedgwick timdaly batánsilva drama sci-fi thriller as the sun burns out an american family gathers at the end of the world their hopes for rescue slowly crumbling as they also confront long lasting divides amongst each other.,after darkness
jamesmcavoy brucewillis samuell.jackson m.nightshyamalan drama horror sci-fi security guard david dunn uses his supernatural abilities to track kevin wendell crumb a disturbed man who has twenty-four personalities.,glass
noomirapace sophienélisse indiravarma vickyjewson action drama thriller a female bodyguard is hired to protect an heiress on the run from assassins.,close
jamesbadgedale briangeraghty henrydunham crime drama thriller a former cop-turned-militia man investigates a shooting at a police funeral.,the standoff at sparrow creek
linshaye michaelwelch melissabolona timothywoodwardjr. horror after the death of his father aaron returns home to help his grief-stricken mother and to confront his past. going through his dad's belongings he comes across a mysterious item that is more than it seems.,the final wish
louisashbourneserkis deanchaumoo tomtaylor joecornish action adventure family a band of kids embark on an epic quest to thwart a medieval menace.,the kid who would be king
matthewmcconaughey annehathaway jasonclarke stevenknight action adventure sci-fi the crew of the ship serenity try to evade an assassin sent to recapture telepath river.,serenity
grantsputore(director) michaellloydgreen(screenplay/story) clararugaard grantsputore drama mystery sci-fi in the wake of humanity's extinction a teenage girl is raised by a robot designed to repopulate the earth. but their unique bond is threatened when an inexplicable stranger arrives with alarming news.,i am mother
andrewpatterson(director) jamesmontague craigw.sanger(writers);sierramccormick andrewpatterson drama mystery sci-fi one night in new mexico in the late 1950s a switchboard operator and radio dj discover a strange audio frequency which could change the future forever.,the vast of night
ginarodriguez ismaelcruzcórdova anthonymackie catherinehardwicke action crime drama gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. surviving will require all of her cunning inventiveness and strength. based on the spanish-language film.,miss bala
jakegyllenhaal renerusso tonicollette dangilroy horror mystery thriller a satire set in the contemporary art world scene of los angeles where big money artists and mega-collectors pay a high price when art collides with commerce.,velvet buzzsaw
christopherabbott miawasikowska laiacosta nicolaspesce horror mystery thriller a man kisses his wife and baby goodbye and seemingly heads away on business with a plan to check into a hotel call an escort service and kill an unsuspecting prostitute.,piercing
chrispratt elizabethbanks tiffanyhaddish mikemitchell animation action adventure it's been five years since everything was awesome and the citizens are facing a huge new threat: lego duplo invaders from outer space wrecking everything faster than they can rebuild.,the lego movie 2: the second part
tarajip.henson tracymorgan maxgreenfield adamshankman comedy fantasy romance a woman is boxed out by the male sports agents in her profession but gains an unexpected edge over them when she develops the ability to hear men's thoughts.,what men want
liamneeson tombateman tomjackson hanspettermoland action comedy crime a grieving snowplow driver seeks out revenge against the drug dealers who killed his son.,cold pursuit
andréholland zaziebeetz melvingregg stevensoderbergh drama sport during a pro basketball lockout a sports agent pitches a rookie basketball client on an intriguing and controversial business proposition.,high flying bird
taylorschilling petermooney colmfeore nicholasmccarthy fantasy horror mystery a mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,the prodigy
rebelwilson liamhemsworth adamdevine toddstrauss-schulson comedy fantasy musical a young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,isn't it romantic
jessicarothe israelbroussard phivu christopherlandon comedy horror mystery tree gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,happy death day 2u
